fips,date,aggregate_level,country,state,index,cases,deaths,recovered,cumulative_icu,cumulative_hospitalized,current_icu,current_icu_total,current_hospitalized,current_ventilated,staffed_beds,icu_beds,positive_tests,negative_tests,contact_tracers_count,hospital_beds_in_use_any,Rt_MAP__new_cases,Rt_ci31__new_cases,Rt_ci68__new_cases,Rt_ci5__new_cases,Rt_ci95__new_cases,new_deaths,Rt_MAP__new_deaths,Rt_ci31__new_deaths,Rt_ci68__new_deaths,Rt_ci5__new_deaths,Rt_ci95__new_deaths,lag_days__new_deaths,Rt_MAP_composite,Rt_ci95_composite
53,2020-01-21,state,USA,WA,,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2020-01-22,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5,2.6547005383792515
53,2020-01-23,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5,2.6547005383792515
17,2020-01-24,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
53,2020-01-24,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5,2.6547005383792515
06,2020-01-25,state,USA,CA,,1,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
17,2020-01-25,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.7500127686053897,2.8325408373570578
53,2020-01-25,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.4999999999999998,2.6547005383792515
04,2020-01-26,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
06,2020-01-26,state,USA,CA,,2,0.0,,,,,,,,,,2.0,,,,1.5,1.56,2.92,0.56,5.5,,,,,,,,1.459703371329521,2.6260365444139406
17,2020-01-26,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,1.58,1.62,3.08,0.54,5.62,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.7711661826002314,2.8822288028711767
53,2020-01-26,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.4999999999999998,2.6547005383792515
04,2020-01-27,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.5,2.6547005383792515
06,2020-01-27,state,USA,CA,,2,0.0,,,,,,,,,,2.0,,,,1.52,1.56,2.96,0.52,5.34,,,,,,,,1.4476054931909383,2.5712430013401546
17,2020-01-27,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,1.66,1.68,3.22,0.52,5.74,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.794387254549889,2.933387544901709
53,2020-01-27,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5002243680220773,2.654860136932357
04,2020-01-28,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.5,2.6547005383792515
06,2020-01-28,state,USA,CA,,2,0.0,,,,,,,,,,2.0,,,,1.54,1.56,2.98,0.5,5.28,,,,,,,,1.4341895171499055,2.544379375912799
17,2020-01-28,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,1.72,1.72,3.3200000000000003,0.52,5.86,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.8199162966900904,2.9861880035173884
53,2020-01-28,state,USA,WA,,1,0.0,,,,,,,,,,2,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.500507656217513,2.6550616468698465
04,2020-01-29,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.5,2.6547005383792515
06,2020-01-29,state,USA,CA,,2,0.0,,,,,,,,,,2.0,,,,1.52,1.54,3.0,0.48,5.26,,,,,,,,1.4195718582770702,2.5282079689906443
17,2020-01-29,state,USA,IL,,1,0.0,,,,,,,,,,1.0,,,,1.78,1.76,3.4,0.52,5.96,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.8484907742705767,3.0353812533958333
53,2020-01-29,state,USA,WA,,1,0.0,,,,,,,,,,3,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5008666271513134,2.655316991821016
04,2020-01-30,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.4999999999999998,2.6547005383792515
06,2020-01-30,state,USA,CA,,2,0.0,,,,,,,,,,2.0,,,,1.5,1.54,3.0,0.46,5.24,0.0,1.5,1.56,2.92,0.56,5.5,4.0,1.4039288464133934,2.5113072029902863
17,2020-01-30,state,USA,IL,,2,0.0,,,,,,,,,,2.0,,,,1.82,1.78,3.48,0.52,6.0600000000000005,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.8804658021556584,3.0869933992619973
53,2020-01-30,state,USA,WA,,1,0.0,,,,,,,,,,3,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5013182697160827,2.6556382564076118
04,2020-01-31,state,USA,AZ,,1,0.0,,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.4999999999999998,2.6547005383792515
06,2020-01-31,state,USA,CA,,3,0.0,,,,,,,,,,3.0,,,,1.48,1.52,3.0,0.44,5.24,0.0,1.5,1.56,2.92,0.56,5.5,4.0,1.3870909952160788,2.499330020753644
17,2020-01-31,state,USA,IL,,2,0.0,,,,,,,,,,2.0,,,,1.86,1.82,3.54,0.52,6.1400000000000015,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.9160238321662828,3.1353807209409634
53,2020-01-31,state,USA,WA,,1,0.0,,,,,,,,,,3,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.501878511804516,2.656036770535761
04,2020-02-01,state,USA,AZ,,1,0.0,0.0,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.5002243680220773,2.654860136932357
06,2020-02-01,state,USA,CA,,3,0.0,0.0,,,,,,,,,3.0,,,,1.44,1.5,2.98,0.42,5.24,0.0,1.5,1.56,2.92,0.56,5.5,4.0,1.3695953476770253,2.4868849316227504
17,2020-02-01,state,USA,IL,,2,0.0,0.0,,,,,,,,,2.0,,,,1.9,1.84,3.6,0.52,6.24,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.9557378745292464,3.192497820238976
25,2020-02-01,state,USA,MA,,1,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
53,2020-02-01,state,USA,WA,,1,0.0,0.0,,,,,,,,,4,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5025605147657413,2.6565218962003607
04,2020-02-02,state,USA,AZ,,1,0.0,0.0,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.500507656217513,2.6550616468698465
06,2020-02-02,state,USA,CA,,6,0.0,0.0,,,,,,,,,6.0,,,,1.4,1.48,2.96,0.4,5.24,0.0,1.5,1.56,2.92,0.56,5.5,4.0,1.3515365343054109,2.4740392486318092
17,2020-02-02,state,USA,IL,,2,0.0,0.0,,,,,,,,,2.0,,,,1.92,1.86,3.66,0.52,6.32,0.0,1.52,1.56,2.92,0.56,5.5,-21.0,1.9998163541490057,3.246945949589352
25,2020-02-02,state,USA,MA,,1,0.0,0.0,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-20.0,1.5,2.6547005383792515
53,2020-02-02,state,USA,WA,,1,0.0,0.0,,,,,,,,,6,0,,,1.5,1.56,2.92,0.56,5.5,0.0,1.52,1.56,2.92,0.56,5.5,-17.0,1.5033727333895412,2.6570996475036153
04,2020-02-03,state,USA,AZ,,1,0.0,0.0,,,,,,,,,1.0,,,,1.5,1.56,2.92,0.56,5.5,0.0,1.5,1.56,2.92,0.56,5.5,-1.0,1.5008666271513134,2.655316991821016
